No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
1170;CHS;1.07B;13.20;12.72;0.88;0.48;1.62;4.49;10.15;2.30%;4.63%;-8.10%;15.00%;-2.40%;8.35;0.30%;1,236,872
1171;CHSCL;-;-;-;-;-;-;-;-;-;-;-;-;-;27.48;-0.03%;20,181
1172;CHSCM;-;-;-;-;-;-;-;-;-;-;-;-;-;26.34;-0.04%;6,677
1173;CHSCN;-;-;-;-;-;-;-;-;-;-;-;-;-;27.22;0.04%;3,512
1174;CHSCO;-;-;-;-;-;-;-;-;-;-;-;-;-;28.30;-0.30%;1,261
1175;CHSCP;366.82M;-;-;-;0.01;-;0.69;1.98;0.00%;-;0.00%;-;-4.70%;29.50;-1.48%;2,504
1176;CHSP;1.98B;26.76;24.94;3.34;3.30;1.86;48.68;67.45;0.10%;-13.20%;11.30%;8.00%;16.50%;32.87;0.60%;176,541
1177;CHT;27.67B;22.52;-;10.24;3.78;2.34;16.75;29.27;-3.00%;-;-1.30%;2.20%;0.50%;35.53;0.52%;25,875
1178;CHTR;75.24B;87.70;45.15;1.50;1.77;2.05;97.33;31.23;-82.80%;61.85%;23.00%;58.64%;40.80%;324.21;-0.87%;648,100
1179;CHU;35.96B;43.05;18.13;-;0.86;0.95;5.85;-;185.10%;53.08%;-24.10%;-;2.00%;11.77;0.51%;78,547
1180;CHUY;434.62M;25.08;21.03;1.67;1.12;2.14;42.20;-;-0.60%;8.37%;36.00%;15.00%;16.40%;24.80;-1.00%;102,702
1181;CHW;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;9.14;0.02%;70,273
1182;CHY;966.44M;13.76;-;-;15.71;1.13;9664.40;-;-;-;5.60%;-;-4.70%;13.25;1.47%;119,718
1183;CI;49.24B;18.12;13.37;1.25;1.12;3.34;13.55;11.36;34.60%;9.80%;11.50%;14.48%;7.40%;201.39;-0.91%;1,223,345
1184;CIA;422.76M;-;-;-;1.70;2.12;6.68;4.65;-222.30%;-;-20.40%;-;4.50%;8.42;0.84%;21,740
1185;CIB;10.19B;12.26;9.64;0.86;1.89;1.34;1.77;-;-3.20%;20.10%;19.20%;14.20%;16.90%;41.96;0.31%;116,149
1186;CIBR;-;-;-;-;-;-;-;-;-;-;-;-;-;28.44;0.77%;54,208
1187;CIC;18.41M;-;-;-;-;23.63;-;-;-;-;-;-;-;9.90;0.00%;122,900
1188;CID;-;-;-;-;-;-;-;-;-;-;-;-;-;33.78;0.21%;2,182
1189;CIDM;44.35M;1.18;-;0.12;0.68;-;2.49;2.00;73.90%;-;35.00%;10.00%;-3.60%;1.25;-1.57%;5,875
1190;CIEN;4.46B;4.69;17.38;0.31;1.52;2.53;4.67;19.33;-20.20%;34.25%;48.40%;15.00%;8.80%;31.47;0.40%;1,050,559
1191;CIF;51.62M;-;-;-;12.42;1.01;-;-;-;-;-;-;-;2.62;0.10%;21,591
1192;CIFS;208.64M;8.49;-;-;7.30;2.52;12.80;-;90.70%;-;-;-;-;8.57;-2.33%;48,976
1193;CIG;2.34B;9.83;4.31;-;0.43;0.70;7.13;-;199.30%;36.18%;-25.20%;0.00%;9.00%;1.69;-1.74%;931,885
1194;CIG-C;2.10B;10.68;-;-;0.36;0.63;-;-;-;-;-;-;-;1.61;-3.35%;300
1195;CIGI;2.99B;39.24;17.88;2.62;1.18;9.58;28.73;16.02;-8.90%;17.70%;77.30%;15.00%;1.60%;79.65;-0.31%;8,047
1196;CII;758.45M;5.53;-;-;57.28;1.00;-;-;-;-;0.00%;-;-;17.23;0.20%;50,967
1197;CIK;166.30M;22.64;-;-;9.96;0.92;207.87;27.26;-31.20%;-;-6.80%;-;-3.30%;3.17;0.16%;184,315
1198;CIL;-;-;-;-;-;-;-;-;-;-;-;-;-;40.15;-0.01%;63
1199;CIM;3.47B;6.21;8.41;-;2.89;0.96;38.31;14.79;-10.70%;-3.97%;10.30%;-1.79%;11.20%;18.69;-0.03%;561,662
1200;CINF;12.58B;29.41;23.59;5.98;2.24;1.60;24.15;19.45;-6.70%;1.02%;5.20%;4.92%;6.90%;77.31;-0.14%;102,482
1201;CINR;548.90M;11.04;10.97;-;1.14;3.63;26.26;6.53;0.00%;-4.06%;2.90%;-;1.50%;27.20;0.00%;4,597
1202;CIO;439.45M;12.93;-;1.44;3.73;1.63;29.89;-;57.30%;-111.40%;21.10%;9.00%;56.00%;12.40;0.65%;75,985
1203;CIR;952.77M;-;16.57;-;1.01;1.66;13.81;-;14.50%;36.19%;-16.90%;6.07%;-4.80%;48.29;0.71%;27,593
1204;CISN;2.22B;-;17.93;-;3.19;6.93;26.76;25.74;57.70%;12.20%;-;43.63%;-;17.10;0.71%;185,900
1205;CIT;6.05B;18.88;11.07;1.89;3.31;1.06;1.64;7.64;260.20%;25.47%;20.50%;10.00%;5.70%;52.76;-0.47%;422,974
1206;CIVB;257.22M;16.77;12.58;2.10;4.10;1.48;4.64;19.63;-15.60%;25.87%;18.40%;8.00%;4.60%;24.83;-0.28%;4,025
1207;CIVI;523.51M;-;27.45;-;0.33;3.15;-;11.66;-33.40%;17.00%;18.10%;10.00%;5.90%;14.50;-0.34%;9,223
1208;CIX;161.86M;12.15;-;-;1.43;1.15;4.80;17.59;8.40%;-;26.30%;-;6.10%;13.65;2.63%;3,573
1209;CIZ;-;-;-;-;-;-;-;-;-;-;-;-;-;34.57;0.88%;5,107
1210;CIZN;113.76M;18.02;-;-;3.72;1.43;8.18;20.68;-7.40%;-;-1.70%;-;-2.40%;23.75;-0.84%;2
1211;CJ;1.53B;-;19.42;-;0.73;1.11;13.88;-;104.60%;-5.36%;-35.80%;-;8.10%;22.37;-1.11%;463,192
1212;CJJD;48.09M;-;-;-;0.49;2.48;5.28;-;-144.20%;-;8.50%;30.00%;1.40%;1.62;0.62%;67,862
1213;CJNK;-;-;-;-;-;-;-;-;-;-;-;-;-;25.46;0.00%;1,139
1214;CKH;895.75M;16.09;30.86;-;1.20;1.30;2.51;19.82;125.00%;13.48%;3.20%;-;-15.10%;50.17;1.60%;59,740
1215;CKPT;135.91M;-;-;-;113.26;5.91;4.80;-;3.80%;-5.90%;-;-;-;3.59;-21.10%;269,590
1216;CKX;21.51M;17.09;-;-;16.54;1.30;7.42;-;141.20%;-;-25.60%;-;-18.90%;10.45;3.98%;416
1217;CL;59.22B;24.17;21.00;3.61;3.76;-;64.65;63.21;-4.70%;6.52%;0.10%;6.70%;-2.00%;67.52;-0.62%;807,182
1218;CLAR;298.90M;-;14.25;-;1.51;1.90;114.96;87.91;23.80%;32.73%;-50.80%;15.00%;3.30%;10.50;0.96%;8,329
1219;CLB;4.93B;53.43;35.97;1.85;7.22;32.30;379.46;310.25;30.80%;27.55%;-15.90%;28.83%;-7.60%;115.50;2.74%;207,741
1220;CLBS;66.69M;4.39;-;-;-;1.38;1.33;-;133.00%;-18.40%;15.50%;-;-;6.35;1.16%;28,199
1221;CLCT;134.82M;20.66;-;1.03;1.97;9.20;12.72;-;-26.30%;-;0.40%;20.00%;6.90%;14.91;-1.13%;15,924
1222;CLD;191.03M;-;-;-;0.22;0.19;2.12;5.77;-126.00%;27.10%;-15.20%;17.30%;-10.20%;2.48;0.40%;125,102
1223;CLDC;20.94M;-;-;-;1.27;0.26;17.45;-;-512.10%;-;-;-;-;0.85;-3.05%;4,918
1224;CLDR;2.66B;-;-;-;6.47;8.94;7.03;-;-34.20%;28.00%;-;21.90%;-;17.83;2.29%;1,340,043
1225;CLDT;943.88M;24.78;31.35;2.06;3.02;1.19;116.53;-;-10.30%;-2.94%;51.00%;12.00%;24.40%;20.83;0.70%;46,932
1226;CLDX;73.59M;-;-;-;5.18;0.52;0.65;-;31.10%;53.90%;3.20%;-;2.60%;0.47;5.07%;1,805,427
1227;CLF;3.71B;25.94;8.13;-;1.69;-;4.63;30.71;-107.70%;-15.23%;59.20%;-2.74%;-16.90%;12.80;3.26%;4,775,680
1228;CLFD;178.97M;54.12;31.69;-;2.43;2.64;10.05;26.32;-52.00%;80.43%;-14.10%;-;14.60%;13.00;-1.14%;14,936
1229;CLGN;910.75M;-;-;-;1511.33;3.81;-;-;-;-;-;-;-;5.15;-3.56%;2,010
1230;CLGX;4.09B;28.95;16.76;2.90;2.19;3.99;-;11.64;6.10%;7.42%;7.20%;10.00%;6.80%;50.19;-0.14%;57,762
1231;CLH;3.94B;185.44;48.62;-;1.27;3.40;16.84;31.90;119.50%;39.07%;-43.70%;-10.00%;6.10%;72.12;3.16%;285,608
1232;CLI;1.81B;25.63;-;-;3.17;1.22;60.79;-;-95.50%;84.70%;-31.20%;-4.73%;-1.10%;19.89;-0.92%;112,276
1233;CLIR;46.60M;-;-;-;66.57;3.70;5.55;-;27.40%;-;-2.60%;-;-;1.65;-2.94%;61,738
1234;CLIX;-;-;-;-;-;-;-;-;-;-;-;-;-;47.02;0.15%;1,749
1235;CLLS;1.22B;-;-;-;39.33;2.56;2.47;-;-46.00%;-1.00%;-36.40%;-;15.50%;29.08;-0.58%;132,979
1236;CLM;624.76M;8.41;-;-;60.39;1.13;-;-;-;-;-;-;-;14.04;0.14%;166,486
1237;CLMT;489.45M;-;34.05;-;0.14;9.13;12.61;-;90.00%;119.40%;-16.10%;10.00%;-4.20%;6.41;1.67%;106,974
1238;CLNC;2.90B;39.41;12.54;-;9.96;0.98;18.68;305.60;19.30%;23.81%;-;-;-;22.49;-1.45%;219,409
1239;CLNE;559.60M;-;-;-;1.63;0.87;2.20;127.18;-27.40%;8.30%;35.50%;25.00%;0.50%;2.76;1.10%;521,037
1240;CLNY;3.02B;-;-;-;1.05;0.48;6.29;39.60;-281.40%;22.40%;-50.10%;-;123.00%;6.16;0.16%;579,024
1241;CLPR;220.09M;-;260.00;-;2.05;3.39;13.93;-;55.10%;183.30%;-;-;-;13.23;1.77%;4,140
1242;CLPS;147.71M;59.68;-;-;3.34;21.28;31.43;-;12.10%;-;-;-;-;12.52;-4.65%;65,283
1243;CLR;24.33B;39.84;17.17;-;6.00;4.32;187.17;66.55;118.80%;20.60%;-36.90%;-;4.20%;67.46;3.45%;1,115,457
1244;CLRB;9.84M;-;-;-;-;0.99;2.34;-;21.50%;15.60%;52.80%;-;-;2.66;-0.63%;193,430
1245;CLRG;-;-;-;-;-;-;-;-;-;-;-;-;-;26.39;0.04%;63
1246;CLRO;18.74M;-;-;-;0.55;0.34;2.68;-;-588.80%;6.70%;-19.60%;13.00%;-2.10%;2.15;-4.44%;13,414
1247;CLS;1.53B;19.57;8.18;13.05;0.24;1.18;3.80;-;-22.20%;17.00%;5.70%;1.50%;-1.30%;10.72;-1.34%;160,347
1248;CLSD;207.15M;-;-;-;1035.77;2.97;2.45;-;-127.60%;10.70%;-;-;-;6.41;3.72%;71,231
1249;CLSN;48.79M;-;-;-;97.59;2.55;1.86;-;77.10%;-3.40%;43.70%;-;-;2.78;1.09%;133,683
1250;CLTL;-;-;-;-;-;-;-;-;-;-;-;-;-;105.47;0.00%;0
1251;CLUB;237.88M;31.39;29.66;3.14;0.56;-;4.06;8.12;-48.30%;93.33%;-20.30%;10.00%;-3.40%;8.75;1.74%;73,637
1252;CLVS;1.72B;-;-;-;22.65;5.46;2.53;-;56.90%;27.90%;-5.70%;45.40%;-;30.56;-6.37%;1,146,009
1253;CLW;515.81M;24.68;12.64;4.94;0.30;0.86;9.68;-;-43.00%;39.43%;-9.50%;5.00%;-1.60%;30.10;-2.43%;64,408
1254;CLWT;7.59M;16.16;-;-;0.44;0.48;2.23;-;104.80%;-;25.50%;-;-4.30%;3.61;-2.43%;1,433
1255;CLX;19.36B;26.58;21.88;3.57;3.16;26.68;147.78;58.66;5.50%;6.79%;5.50%;7.46%;2.10%;149.76;-0.13%;236,250
1256;CLXT;552.96M;-;-;-;1382.39;4.75;5.24;-;-138.20%;-11.80%;-;-;-;15.95;-5.68%;55,302
1257;CM;42.73B;10.67;7.67;1.94;3.32;1.72;0.39;-;5.00%;2.64%;7.70%;5.50%;2.70%;96.10;-0.10%;120,092
1258;CMA;16.08B;15.74;11.84;0.55;6.71;2.02;2.31;18.83;77.60%;12.09%;12.10%;28.60%;3.20%;93.97;0.23%;375,732
1259;CMBS;-;-;-;-;-;-;-;-;-;-;-;-;-;49.59;-0.10%;3,062
1260;CMC;2.46B;48.43;8.99;1.25;0.57;1.64;-;-;-44.10%;52.38%;-31.20%;38.65%;-9.80%;20.40;0.05%;484,568
1261;CMCM;1.41B;6.63;13.74;-;2.00;2.05;2.76;-;-57.60%;18.26%;150.20%;-2.99%;63.80%;9.50;-3.85%;338,155
1262;CMCO;989.71M;27.86;14.18;1.39;1.15;2.41;17.33;22.24;295.20%;16.14%;-15.60%;20.00%;7.00%;42.93;0.63%;20,100
1263;CMCSA;162.87B;15.03;12.78;0.92;1.86;2.32;28.44;11.63;17.60%;10.20%;12.60%;16.26%;6.20%;35.64;0.03%;12,395,367
1264;CMCT;569.31M;9.20;-;-;2.74;1.59;6.24;-;-;-;93.00%;-;0.30%;13.90;-1.07%;1,049
1265;CMD;4.03B;48.93;32.57;2.72;4.75;6.65;77.62;43.88;18.90%;17.04%;17.30%;18.00%;14.80%;95.47;-0.75%;148,115
1266;CMDT;-;-;-;-;-;-;-;-;-;-;-;-;-;35.83;0.00%;0
1267;CMDY;-;-;-;-;-;-;-;-;-;-;-;-;-;49.05;0.49%;20
1268;CME;59.27B;32.84;24.62;3.28;14.97;2.57;50.24;326.74;-5.00%;7.22%;9.80%;10.00%;4.60%;174.00;-0.43%;742,191
1269;CMF;-;-;-;-;-;-;-;-;-;-;-;-;-;57.81;-0.07%;65,397
1270;CMFN;123.62M;7.80;7.88;-;3.03;0.71;22.08;-;-33.70%;9.71%;14.30%;-;43.20%;8.85;-0.56%;8,196
1271;CMG;13.31B;76.83;38.72;3.09;2.86;9.31;23.18;46.31;700.90%;40.39%;-6.70%;24.85%;10.40%;466.18;0.06%;144,959
1272;CMI;24.32B;12.92;9.90;1.10;1.08;3.35;15.87;38.91;29.30%;13.32%;4.20%;11.70%;3.30%;148.69;-0.26%;418,831
1273;CMLS;291.99M;0.72;-;0.07;0.26;1.07;7.81;4.68;41.70%;-;-9.20%;10.00%;2.50%;17.20;-3.10%;1,001
1274;CMO;740.04M;14.49;22.94;1.45;2.88;0.80;12.89;7.62;-8.00%;-19.54%;-15.50%;10.00%;-1.90%;8.03;0.00%;240,222
1275;CMP;2.27B;28.85;16.58;10.09;1.58;4.14;55.67;-;-45.10%;43.65%;-0.10%;2.86%;7.70%;67.20;-0.15%;98,875
1276;CMPR;4.32B;92.49;34.19;4.62;1.66;46.18;-;42.19;167.00%;55.75%;12.50%;20.00%;17.30%;142.05;1.18%;56,110
1277;CMRE;764.48M;21.17;8.90;-;1.98;0.56;6.15;4.81;-34.30%;59.63%;-15.50%;-;1.30%;6.79;-1.02%;156,555
1278;CMRX;189.20M;-;-;-;40.26;1.00;1.08;-;8.50%;1.20%;23.40%;-;-33.20%;4.06;1.50%;307,735
1279;CMS;13.80B;19.79;19.52;2.84;2.04;2.95;28.93;-;9.60%;7.41%;9.20%;6.97%;1.00%;48.17;-1.55%;928,824
1280;CMSS;261.91M;157.94;-;-;-;52.37;-;-;-;-;-;-;-;10.10;1.51%;192
1281;CMT;61.05M;23.79;-;-;0.29;0.55;-;-;-29.60%;-;-9.30%;-;-0.10%;7.23;-2.30%;39,564
1282;CMTA;386.87M;-;-;-;-;3.21;5.70;-;-309.20%;-4.50%;-;-;-;12.11;-0.08%;30,283
1283;CMTL;791.27M;27.41;44.86;1.61;1.44;1.63;17.90;18.44;247.80%;-36.44%;-13.80%;17.00%;5.30%;34.81;2.50%;107,820
1284;CMU;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;4.53;0.00%;20,725
1285;CN;-;-;-;-;-;-;-;-;-;-;-;-;-;32.45;0.22%;1,490
1286;CNA;12.62B;12.54;10.99;2.15;1.27;1.11;43.83;113.72;13.90%;2.89%;9.40%;5.83%;0.10%;46.47;-0.13%;59,414
1287;CNAC;51.54M;-;-;-;-;10.31;-;-;-;-;-;-;-;10.10;0.00%;208,871
1288;CNACU;386.60M;-;-;-;-;0.37;966.51;-;-;-;-;-;-;10.31;0.00%;0
1289;CNAT;189.90M;-;-;-;5.15;9.83;3.29;-;53.60%;67.20%;41.10%;38.00%;-;6.16;-5.08%;919,183
1290;CNBKA;258.46M;13.10;-;1.87;2.10;1.46;0.92;11.44;25.30%;-;10.00%;7.00%;6.80%;72.65;0.07%;1,234
1291;CNC;29.37B;27.67;17.12;1.50;0.56;2.63;4.38;30.06;16.70%;18.05%;37.00%;18.44%;42.90%;142.56;-0.29%;300,620
1292;CNCE;329.67M;3.14;-;-;2.14;1.62;1.73;3.20;278.00%;-24.60%;33.20%;-;62.10%;13.90;0.40%;37,046
1293;CNCR;-;-;-;-;-;-;-;-;-;-;-;-;-;25.01;0.64%;770
1294;CNDT;4.67B;-;16.87;-;0.81;1.30;4.70;20.19;97.90%;17.95%;-;5.00%;-;22.28;0.50%;268,850
1295;CNET;30.03M;-;-;-;0.50;2.45;-;-;-20.40%;-;-32.10%;10.00%;0.00%;1.77;-2.14%;52,404
1296;CNFR;48.12M;-;10.29;-;0.50;1.02;2.83;-;-211.70%;66.57%;-;15.00%;37.70%;5.82;-3.05%;7,883
1297;CNHI;16.47B;23.63;14.48;0.76;0.56;3.72;3.61;18.29;265.60%;18.06%;-13.10%;30.94%;-3.60%;12.48;-0.16%;345,995
1298;CNI;63.89B;11.35;18.21;1.33;6.18;4.75;209.21;79.33;104.90%;12.62%;25.60%;8.53%;5.60%;88.07;1.45%;436,017
1299;CNK;4.51B;19.56;16.65;1.30;1.44;3.11;8.94;17.88;-14.40%;16.11%;5.10%;15.00%;3.90%;39.35;1.21%;466,216
1300;CNMD;2.30B;54.80;32.96;4.57;2.78;3.45;98.27;53.60;59.70%;11.13%;-9.90%;12.00%;0.80%;78.90;-0.90%;91,522
1301;CNNE;1.51B;-;-;-;1.26;1.40;15.86;-;-260.60%;48.80%;-20.40%;-;4.80%;21.28;-0.28%;68,399
1302;CNO;3.57B;9.42;10.02;0.94;0.84;0.81;4.78;7.01;0.70%;11.09%;19.50%;10.00%;-0.30%;21.83;0.69%;205,171
1303;CNOB;771.52M;15.21;9.94;1.52;3.86;1.33;3.70;-;50.00%;31.93%;7.50%;10.00%;26.80%;24.13;0.63%;44,375
1304;CNP;11.99B;27.33;16.48;3.12;1.19;2.57;13.15;22.29;57.20%;5.57%;10.00%;8.75%;5.20%;27.63;-0.68%;5,301,796
1305;CNQ;40.19B;19.75;11.67;1.14;2.50;1.61;55.93;20.10;86.00%;0.36%;3.30%;17.39%;2.70%;33.03;0.26%;1,908,671
1306;CNS;1.96B;20.95;16.06;2.23;5.09;6.40;10.11;-;-12.40%;4.88%;3.40%;9.38%;6.70%;41.50;0.17%;46,598
1307;CNSF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
1308;CNSL;937.58M;-;-;-;0.66;1.81;88.45;-;-379.40%;0.00%;-54.50%;2.00%;17.30%;13.00;-0.46%;151,072
1309;CNST;195.75M;-;-;-;-;-;2.21;-;-8.70%;27.50%;-;-;-;8.00;0.13%;22,254
1310;CNTF;22.86M;-;-;-;0.49;0.09;32.66;-;-235.10%;-;-31.90%;25.00%;-19.40%;2.06;-5.94%;10,156
1311;CNTY;221.33M;-;12.65;-;1.38;1.25;4.07;-;-84.70%;165.92%;-19.60%;25.00%;16.50%;7.50;0.03%;13,806
1312;CNX;3.12B;4.56;20.26;0.13;2.23;0.73;57.00;-;132.80%;-20.81%;-10.90%;35.70%;-18.50%;14.38;-1.27%;1,058,030
1313;CNXM;1.27B;11.80;8.50;0.75;5.21;4.23;1808.40;53.41;8.50%;34.48%;38.70%;15.70%;40.60%;19.17;-2.29%;92,219
1314;CNXN;1.03B;19.16;14.79;2.13;0.37;2.07;15.04;23.33;-2.80%;7.38%;7.10%;9.00%;6.20%;39.86;0.66%;44,937
1315;CNXT;-;-;-;-;-;-;-;-;-;-;-;-;-;25.00;-0.40%;392
1316;CNY;-;-;-;-;-;-;-;-;-;-;-;-;-;42.67;-2.87%;1
1317;CNYA;-;-;-;-;-;-;-;-;-;-;-;-;-;26.14;-0.21%;6,594
1318;CO;812.59M;21.88;11.24;0.73;5.88;1.71;1.26;7.25;24.90%;23.40%;4.80%;30.00%;12.20%;6.44;-1.23%;11,870
1319;COBZ;982.45M;21.11;16.45;2.11;6.48;2.81;9.06;25.39;13.50%;16.36%;11.70%;10.00%;6.20%;23.17;0.04%;42,971
1320;COCP;82.58M;391.43;-;-;-;0.67;12.14;-;99.20%;-60.70%;63.10%;-;-;2.35;-14.23%;60,487
1321;CODA;69.70M;65.91;-;-;4.74;2.96;10.40;116.16;-23.70%;-;-16.40%;-;-3.10%;6.01;-2.04%;10,958
1322;CODI;1.07B;-;8.44;-;0.73;1.47;28.43;39.20;-304.80%;10.83%;4.63%;7.00%;7.50%;17.88;0.42%;92,698
1323;CODX;34.52M;-;-;-;1404.06;26.70;23.02;-;-225.30%;-;-;-;-;2.72;1.87%;4,770
1324;COE;168.70M;-;-;-;1.11;-;1.92;-;36.50%;-;-;-;-;9.26;-0.54%;1,785
1325;COF;46.83B;9.45;8.70;0.80;1.78;0.95;3.82;4.22;7.50%;-3.32%;2.80%;11.85%;5.90%;97.56;-0.08%;1,323,244
1326;COG;10.10B;-;14.13;-;5.90;4.85;13.63;182.29;66.50%;48.73%;-24.40%;48.93%;7.90%;23.17;-0.13%;3,141,815
1327;COHN;12.50M;-;-;-;0.29;0.31;0.75;0.60;-77.10%;-;18.40%;5.00%;-13.00%;9.95;-0.50%;13
1328;COHR;4.57B;22.94;14.14;-;2.37;3.79;19.68;31.03;135.00%;-3.99%;26.30%;-12.00%;17.50%;188.09;-0.50%;233,620
1329;COHU;651.50M;14.13;11.69;1.41;1.75;2.18;4.32;18.00;14.90%;11.09%;39.00%;10.00%;11.30%;22.92;-0.11%;182,937
1330;COKE;1.69B;334.57;52.85;-;0.37;4.77;85.83;-;-40.50%;62.47%;-2.50%;-;21.80%;176.56;-0.80%;7,194
1331;COL;23.06B;26.40;18.04;2.15;2.68;3.40;37.13;40.96;-13.00%;10.19%;3.60%;12.27%;8.50%;140.71;0.19%;263,496
1332;COLB;2.95B;17.85;14.62;1.98;6.71;1.47;10.61;27.07;14.20%;13.32%;12.10%;9.00%;8.60%;39.66;-0.33%;78,100
1333;COLD;3.71B;-;47.64;-;2.35;5.64;24.20;257.44;25.50%;24.71%;-;2.70%;-1.10%;25.09;-0.63%;482,817
1334;COLL;536.97M;-;271.90;-;3.36;6.28;4.02;13.77;36.30%;104.00%;-;-;-;15.59;-1.14%;143,374
1335;COLM;6.37B;43.65;23.20;4.02;2.44;3.86;8.22;37.88;-40.10%;12.21%;2.10%;10.85%;8.10%;90.65;0.29%;54,296
1336;COM;-;-;-;-;-;-;-;-;-;-;-;-;-;25.16;0.92%;2,123
1337;COMB;-;-;-;-;-;-;-;-;-;-;-;-;-;25.44;0.08%;4,411
1338;COMG;-;-;-;-;-;-;-;-;-;-;-;-;-;30.53;0.20%;420
1339;COMM;5.80B;25.98;11.30;2.25;1.26;3.40;10.63;12.54;-3.20%;10.56%;99.90%;11.56%;6.50%;30.12;-0.13%;763,487
1340;COMT;-;-;-;-;-;-;-;-;-;-;-;-;-;39.06;0.28%;9,824
1341;CONE;6.42B;70.01;450.00;3.10;8.57;3.34;55.24;-;-490.60%;-90.58%;2.00%;22.60%;24.90%;64.47;-1.20%;881,283
1342;CONN;1.11B;24.64;11.29;0.99;0.72;2.01;251.98;11.12;174.10%;30.49%;-16.90%;25.00%;11.90%;34.15;-5.53%;194,477
1343;COO;13.17B;41.12;22.01;4.11;5.39;4.10;84.66;29.41;34.60%;5.35%;8.30%;10.00%;8.20%;271.43;0.74%;78,116
1344;COOL;391.83M;-;-;-;24489.46;5.43;10.37;-;-466.90%;56.80%;-50.00%;15.00%;-;17.33;0.00%;0
1345;COP;90.34B;24.92;15.02;-;2.74;2.91;23.49;49.64;51.80%;16.81%;-17.50%;-;-12.70%;78.28;1.59%;3,079,660
1346;COPX;-;-;-;-;-;-;-;-;-;-;-;-;-;22.45;0.26%;3,682
1347;COR;5.22B;52.45;44.74;3.51;10.13;14.24;1862.70;-;19.40%;9.62%;53.00%;14.95%;18.40%;108.40;0.32%;173,097
1348;CORE;1.52B;78.51;23.61;21.81;0.09;2.80;45.69;14.13;-65.10%;12.89%;-11.00%;3.60%;12.00%;33.72;1.29%;84,170
1349;CORI;338.61M;-;-;-;9.28;13.55;4.10;-;0.20%;12.50%;-38.20%;-;-5.80%;9.38;0.32%;20,885
1350;CORN;-;-;-;-;-;-;-;-;-;-;-;-;-;16.01;-0.12%;67,614
1351;CORP;-;-;-;-;-;-;-;-;-;-;-;-;-;100.22;-0.10%;8,593
1352;CORR;446.98M;19.43;18.76;9.72;5.05;1.39;31.48;26.93;1.60%;5.84%;45.40%;2.00%;119.90%;37.79;0.19%;13,826
1353;CORT;1.70B;10.10;13.97;-;7.87;6.79;10.63;19.98;50.00%;63.22%;39.00%;-9.50%;117.00%;14.22;-0.70%;171,995
1354;CORV;149.52M;-;-;-;5.80;9.62;6.83;-;13.90%;-5.40%;14.80%;28.00%;98.00%;3.98;-1.49%;76,966
1355;COST;101.96B;35.78;30.12;2.93;0.73;8.43;14.48;-;14.10%;8.99%;9.30%;12.21%;5.40%;233.52;0.08%;712,400
1356;COT;2.11B;-;34.78;-;0.91;1.70;12.96;25.55;43.20%;76.73%;-20.30%;27.80%;0.20%;14.85;-1.39%;496,516
1357;COTY;9.74B;-;14.32;-;1.04;1.11;29.37;-;74.00%;21.33%;-19.20%;15.43%;15.10%;12.81;-1.69%;4,796,488
1358;COUP;4.54B;-;1397.45;-;20.71;17.31;10.24;191.50;56.10%;200.00%;-;-0.09%;-;77.85;1.29%;344,069
1359;COWB;-;-;-;-;-;-;-;-;-;-;-;-;-;47.88;0.08%;2,388
1360;COWN;580.48M;-;4.88;-;0.67;0.60;2.63;-;26.40%;11.56%;3.10%;10.00%;22.30%;16.55;3.44%;137,650
1361;COWZ;-;-;-;-;-;-;-;-;-;-;-;-;-;30.90;-0.70%;16,561
1362;COYN;-;-;-;-;-;-;-;-;15.40%;50.40%;-;-;-;-;-;0
1363;CP;29.89B;13.90;17.68;1.35;5.74;5.87;756.73;61.90;89.50%;14.16%;48.40%;10.28%;2.80%;210.78;0.70%;409,952
1364;CPA;3.37B;8.60;8.42;0.79;1.26;1.49;4.05;5.07;8.60%;11.67%;3.10%;10.91%;2.30%;78.48;0.71%;165,896
1365;CPAC;954.71M;27.28;14.93;0.82;2.48;1.83;47.50;136.39;-6.00%;22.74%;-5.30%;33.30%;0.90%;10.45;2.96%;797
1366;CPAH;11.99M;-;10.25;-;0.98;1.64;6.31;-;-12.60%;1100.00%;-48.30%;-;-4.10%;2.04;-0.49%;9,060
1367;CPB;12.06B;89.51;15.21;-;1.39;8.55;60.58;23.92;59.60%;6.33%;4.80%;-1.05%;1.90%;39.20;-1.58%;821,087
1368;CPE;2.76B;18.18;9.49;0.35;5.91;1.15;5.42;-;171.30%;56.35%;52.40%;52.23%;27.00%;12.28;0.08%;1,915,512
1369;CPER;-;-;-;-;-;-;-;-;-;-;-;-;-;17.67;-0.23%;2,262
1370;CPF;801.04M;15.93;13.35;1.99;4.24;1.67;8.03;13.05;5.50%;6.65%;7.10%;8.00%;7.30%;27.29;0.33%;52,828
1371;CPG;3.46B;-;39.38;-;1.45;0.51;-;-;111.10%;700.00%;-61.01%;-;-;6.30;-0.03%;612,052
