No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4140;LTBR;29.77M;-;-;-;1165.94;0.88;1.16;-;52.20%;-;15.30%;-;-45.60%;0.99;0.61%;92,399
4141;LTC;1.73B;13.28;20.21;3.32;10.38;2.14;401.50;-;-0.10%;-35.58%;7.40%;4.00%;12.70%;43.63;0.53%;44,340
4142;LTL;-;-;-;-;-;-;-;-;-;-;-;-;-;43.87;0.00%;0
4143;LTM;5.78B;27.96;13.90;0.52;0.58;1.63;4.77;4.80;102.20%;90.08%;49.80%;53.81%;-0.20%;9.42;-1.77%;160,629
4144;LTN;32.23M;-;-;-;-;6.42;-;-;-;-;-;-;-;9.90;0.51%;100
4145;LTPZ;-;-;-;-;-;-;-;-;-;-;-;-;-;64.60;-0.43%;2,119
4146;LTRPA;1.10B;-;14.75;-;0.70;3.42;-;5.22;87.50%;253.00%;-19.80%;-;56.90%;14.85;-0.34%;104,466
4147;LTRPB;38.97M;-;-;-;0.02;3.05;-;-;-;-;-;-;-;13.30;0.00%;0
4148;LTRX;96.93M;145.67;20.81;7.28;2.13;3.41;10.10;323.09;344.40%;23.53%;17.10%;20.00%;-0.50%;4.10;-6.18%;96,418
4149;LTS;531.12M;-;-;-;0.39;1.42;2.59;17.13;70.90%;60.00%;1.20%;15.00%;14.30%;2.85;1.06%;208,733
4150;LTXB;2.19B;19.06;13.07;1.91;5.62;2.08;6.73;19.16;4.00%;22.12%;17.40%;10.00%;21.60%;44.57;0.61%;60,545
4151;LUB;50.50M;-;-;-;0.14;0.45;33.67;-;-120.40%;-;-37.80%;7.00%;1.40%;1.71;-0.58%;5,261
4152;LULU;20.69B;52.12;37.45;2.50;7.08;15.97;26.60;51.05;5.70%;17.31%;4.70%;20.85%;14.10%;158.62;0.81%;416,496
4153;LUNA;92.70M;-;-;-;1.82;1.71;2.78;-;15.80%;-;14.20%;-;11.90%;3.26;1.24%;27,224
4154;LUV;35.87B;16.78;12.21;0.98;1.69;3.59;9.73;20.87;-2.90%;21.57%;43.80%;17.15%;4.40%;61.24;-1.33%;1,921,879
4155;LVHB;-;-;-;-;-;-;-;-;-;-;-;-;-;31.62;-0.67%;1,995
4156;LVHD;-;-;-;-;-;-;-;-;-;-;-;-;-;30.65;-1.32%;7,552
4157;LVHE;-;-;-;-;-;-;-;-;-;-;-;-;-;27.12;-4.61%;1,800
4158;LVHI;-;-;-;-;-;-;-;-;-;-;-;-;-;27.01;-1.00%;931
